ranking,waku,umaban,bamei,bamei_url,sexage,handicap,jockey,jockey_url,racetime,difference,popular,odds,furlong3,corner_rank,stable,trainer,trainer_url,weight,weight_change,race_id
12,5,10,スプリングオペラ,https://db.netkeiba.com/horse/2019100141,牝2,54.0,丹内,https://db.netkeiba.com/jockey/01091/,1:40.0,クビ,12,161.3,35.6,15-14-11,美浦,和田雄,https://db.netkeiba.com/trainer/01143/,460,0,202106040805
13,6,11,リトルポピー,https://db.netkeiba.com/horse/2019104610,牝2,54.0,ルメー,https://db.netkeiba.com/jockey/05339/,1:40.1,3/4,1,2.5,35.9,13-10-11,美浦,奥村武,https://db.netkeiba.com/trainer/01145/,472,0,202106040805
14,3,6,ダイユウシェリー,https://db.netkeiba.com/horse/2019100367,牝2,51.0,▲原,https://db.netkeiba.com/jockey/01184/,1:40.7,3.1/2,10,113.0,36.4,14-14-11,美浦,松永康,https://db.netkeiba.com/trainer/01093/,424,0,202106040805
15,8,16,メロディーフェア,https://db.netkeiba.com/horse/2019104634,牝2,54.0,大野,https://db.netkeiba.com/jockey/01096/,1:41.1,2.1/2,6,16.3,37.1,11-6-11,美浦,新開,https://db.netkeiba.com/trainer/01116/,462,0,202106040805
1,1,2,アイヴォリードレス,https://db.netkeiba.com/horse/2019104518,牝2,54.0,菊沢,https://db.netkeiba.com/jockey/01161/,1:11.4,,4,9.5,36.3,4-2,美浦,菊沢,https://db.netkeiba.com/trainer/01115/,446,0,202106040806
2,3,5,ルプランドル,https://db.netkeiba.com/horse/2019105754,牝2,51.0,▲永野,https://db.netkeiba.com/jockey/01188/,1:12.2,5,3,6.6,37.5,1-1,美浦,萱野,https://db.netkeiba.com/trainer/01024/,462,0,202106040806
3,2,3,ミルトクリーガー,https://db.netkeiba.com/horse/2019103301,牡2,55.0,津村,https://db.netkeiba.com/jockey/01092/,1:12.5,2,9,45.2,37.7,2-2,栗東,中竹,https://db.netkeiba.com/trainer/01039/,472,0,202106040806
4,5,10,ネコニャンニャン,https://db.netkeiba.com/horse/2019104974,牝2,54.0,ルメー,https://db.netkeiba.com/jockey/05339/,1:12.6,1/2,1,2.5,37.3,6-5,美浦,加藤征,https://db.netkeiba.com/trainer/01059/,502,0,202106040806
5,4,7,クルールデュヴァン,https://db.netkeiba.com/horse/2019105379,牝2,54.0,丸山,https://db.netkeiba.com/jockey/01127/,1:12.7,3/4,2,4.9,36.4,10-9,美浦,竹内,https://db.netkeiba.com/trainer/01152/,470,0,202106040806
6,4,8,ライヴトパーズ,https://db.netkeiba.com/horse/2019103188,牝2,54.0,木幡巧,https://db.netkeiba.com/jockey/01162/,1:12.9,1.1/4,8,25.1,37.9,3-4,美浦,牧,https://db.netkeiba.com/trainer/01106/,408,0,202106040806
7,6,11,マイネルシトラス,https://db.netkeiba.com/horse/2019103542,牡2,55.0,丹内,https://db.netkeiba.com/jockey/01091/,1:13.9,6,13,101.7,37.2,11-10,美浦,武市,https://db.netkeiba.com/trainer/01089/,512,0,202106040806
8,8,16,アスガルド,https://db.netkeiba.com/horse/2019106448,牡2,55.0,横山和,https://db.netkeiba.com/jockey/01140/,1:14.2,1.3/4,5,9.6,39.1,4-5,美浦,加藤士,https://db.netkeiba.com/trainer/01169/,524,0,202106040806
9,8,15,ラージベル,https://db.netkeiba.com/horse/2019102203,牝2,52.0,△山田,https://db.netkeiba.com/jockey/01173/,1:14.5,1.1/2,11,65.5,39.0,8-8,美浦,松永康,https://db.netkeiba.com/trainer/01093/,466,0,202106040806
10,5,9,スリールトウショウ,https://db.netkeiba.com/horse/2019106800,牝2,54.0,丸田,https://db.netkeiba.com/jockey/01117/,1:14.6,3/4,10,53.9,37.6,12-11,美浦,和田雄,https://db.netkeiba.com/trainer/01143/,426,0,202106040806
11,6,12,グラサージュ,https://db.netkeiba.com/horse/2019101662,牝2,54.0,Ｍデム,https://db.netkeiba.com/jockey/05212/,1:14.8,1,6,18.5,39.4,6-7,美浦,林,https://db.netkeiba.com/trainer/01163/,524,0,202106040806
12,2,4,マロンブリンク,https://db.netkeiba.com/horse/2019100706,牝2,51.0,▲小林凌,https://db.netkeiba.com/jockey/01177/,1:14.8,クビ,16,165.2,37.8,12-11,美浦,佐藤,https://db.netkeiba.com/trainer/01035/,426,0,202106040806
13,1,1,ファイアリースカイ,https://db.netkeiba.com/horse/2019101867,牝2,54.0,大野,https://db.netkeiba.com/jockey/01096/,1:16.2,8,7,19.4,38.9,14-14,美浦,和田勇,https://db.netkeiba.com/trainer/01165/,448,0,202106040806
14,3,6,ゲールズヒーロー,https://db.netkeiba.com/horse/2019102465,牡2,54.0,☆木幡育,https://db.netkeiba.com/jockey/01167/,1:17.1,5,15,152.2,39.1,15-15,美浦,大江原,https://db.netkeiba.com/trainer/01012/,460,0,202106040806
15,7,14,チーママ,https://db.netkeiba.com/horse/2019101202,牝2,51.0,▲小林脩,https://db.netkeiba.com/jockey/01183/,1:17.9,5,12,77.9,42.1,9-13,美浦,松永康,https://db.netkeiba.com/trainer/01093/,458,0,202106040806
16,7,13,エクメディダイヤ,https://db.netkeiba.com/horse/2019100822,牡2,55.0,菅原隆,https://db.netkeiba.com/jockey/01129/,1:18.0,1/2,14,132.9,38.8,16-16,美浦,畠山,https://db.netkeiba.com/trainer/01048/,474,0,202106040806
1,4,8,ヴァシリエフスキー,https://db.netkeiba.com/horse/2018105275,牝3,53.0,戸崎圭,https://db.netkeiba.com/jockey/05386/,1:51.9,,1,2.6,38.4,5-5-5-5,美浦,武藤,https://db.netkeiba.com/trainer/01064/,472,0,202106040807
2,1,2,メイショウホオズキ,https://db.netkeiba.com/horse/2018100595,牝3,53.0,吉田豊,https://db.netkeiba.com/jockey/00733/,1:52.2,1.1/2,10,40.1,38.5,8-7-8-7,美浦,高柳瑞,https://db.netkeiba.com/trainer/01118/,480,+14,202106040807
3,1,1,ラマトリス,https://db.netkeiba.com/horse/2017105080,牝4,55.0,菅原明,https://db.netkeiba.com/jockey/01179/,1:52.3,1,14,80.0,39.1,1-1-1-1,美浦,新開,https://db.netkeiba.com/trainer/01116/,546,+6,202106040807
